corrida,perfil_id,n_habs_iniciales,algoritmo,exito,num_cursos,semanas_perturbadas,semanas_nominales,nodos_expandidos,tiempo_segundos
1,11,0,A*,True,6,25,24,15,0.001021
1,11,0,Greedy,True,6,24,23,7,0.000446
2,11,2,A*,True,5,20,20,18,0.005419
2,11,2,Greedy,True,5,19,19,6,0.000441
3,8,1,A*,False,0,0,0,5000,0.500599
3,8,1,Greedy,True,32,177,174,352753,22.972592
4,11,2,A*,True,6,23,24,15,0.000886
4,11,2,Greedy,True,6,22,23,7,0.000402
5,backend_developer,2,A*,True,10,40,39,2363,0.193035
5,backend_developer,2,Greedy,True,10,35,35,15,0.001187
6,5,5,A*,False,0,0,0,5000,0.387094
6,5,5,Greedy,True,15,62,64,198,0.018799
7,3,1,A*,True,11,41,40,1369,0.095911
7,3,1,Greedy,True,11,41,40,74,0.004846
8,8,5,A*,False,0,0,0,5000,0.356617
8,8,5,Greedy,True,30,164,165,240451,14.094094
9,11,0,A*,True,6,23,24,15,0.001473
9,11,0,Greedy,True,6,22,23,7,0.000594
10,data_scientist,3,A*,True,10,40,41,170,0.020107
10,data_scientist,3,Greedy,True,10,40,41,14,0.001273
11,backend_developer,2,A*,True,10,39,39,2363,0.246094
11,backend_developer,2,Greedy,True,10,35,35,15,0.001152
12,2,0,A*,False,0,0,0,5000,0.43612
12,2,0,Greedy,True,12,42,42,16,0.001374
13,4,3,A*,False,0,0,0,5000,0.415768
13,4,3,Greedy,True,14,60,63,33,0.003422
14,4,3,A*,False,0,0,0,5000,0.393838
14,4,3,Greedy,True,15,64,65,52,0.005012
15,backend_developer,2,A*,True,10,40,39,2363,0.219003
15,backend_developer,2,Greedy,True,10,36,35,15,0.001262
16,5,5,A*,False,0,0,0,5000,0.379301
16,5,5,Greedy,True,14,58,58,2722,0.167504
17,2,4,A*,False,0,0,0,5000,0.390563
17,2,4,Greedy,True,11,42,40,13,0.000971
18,backend_developer,1,A*,True,10,39,39,2363,0.203779
18,backend_developer,1,Greedy,True,10,35,35,15,0.001134
19,backend_developer,1,A*,True,9,36,36,785,0.060399
19,backend_developer,1,Greedy,True,9,32,32,15,0.001114
20,3,4,A*,True,11,40,39,1673,0.126215
20,3,4,Greedy,True,11,40,39,73,0.005224
21,9,1,A*,True,13,63,64,235,0.017739
21,9,1,Greedy,True,13,63,64,17,0.001207
22,5,2,A*,False,0,0,0,5000,0.383281
22,5,2,Greedy,True,15,62,61,2725,0.158132
23,backend_developer,3,A*,True,7,25,26,348,0.017363
23,backend_developer,3,Greedy,True,7,23,24,17,0.000896
24,data_scientist,1,A*,True,11,43,44,298,0.02226
24,data_scientist,1,Greedy,True,11,43,44,16,0.000956
25,2,0,A*,False,0,0,0,5000,0.448835
25,2,0,Greedy,True,12,43,42,16,0.001662
26,11,1,A*,True,6,23,24,15,0.000866
26,11,1,Greedy,True,6,22,23,7,0.000355
27,11,2,A*,True,6,24,24,15,0.000878
27,11,2,Greedy,True,6,23,23,7,0.000369
28,1,2,A*,True,7,29,29,55,0.003573
28,1,2,Greedy,True,7,28,28,8,0.000405
29,3,5,A*,True,11,40,40,1960,0.163604
29,3,5,Greedy,True,11,40,40,96,0.00743
30,9,0,A*,True,13,63,64,235,0.016241
30,9,0,Greedy,True,13,63,64,17,0.001005
31,1,2,A*,True,7,30,29,55,0.003745
31,1,2,Greedy,True,7,29,28,8,0.000423
32,ml_engineer,0,A*,False,0,0,0,5000,0.362024
32,ml_engineer,0,Greedy,True,13,61,60,638,0.032531
33,backend_developer,5,A*,True,10,40,39,2515,0.224632
33,backend_developer,5,Greedy,True,10,36,35,16,0.001326
34,3,3,A*,True,11,39,40,1397,0.103484
34,3,3,Greedy,True,11,39,40,74,0.004942
35,4,0,A*,False,0,0,0,5000,0.376405
35,4,0,Greedy,True,15,65,65,52,0.005079
36,data_scientist,2,A*,True,11,44,44,298,0.021395
36,data_scientist,2,Greedy,True,11,44,44,16,0.000904
37,4,5,A*,False,0,0,0,5000,0.402562
37,4,5,Greedy,True,15,65,65,57,0.006062
38,9,3,A*,True,13,63,64,235,0.017162
38,9,3,Greedy,True,13,63,64,17,0.001168
39,1,4,A*,True,6,23,23,27,0.001643
39,1,4,Greedy,True,6,22,22,7,0.000499
40,4,2,A*,False,0,0,0,5000,0.388628
40,4,2,Greedy,True,15,63,65,57,0.005201
41,11,3,A*,True,5,20,20,18,0.001104
41,11,3,Greedy,True,5,19,19,6,0.000343
42,backend_developer,5,A*,True,10,40,39,1737,0.142981
42,backend_developer,5,Greedy,True,10,36,35,13,0.001025
43,backend_developer,2,A*,True,10,40,39,2363,0.200408
43,backend_developer,2,Greedy,True,10,35,35,15,0.001089
44,ml_engineer,0,A*,False,0,0,0,5000,0.374261
44,ml_engineer,0,Greedy,True,13,60,60,638,0.032745
45,1,0,A*,True,7,29,29,55,0.003658
45,1,0,Greedy,True,7,28,28,8,0.000373
46,1,1,A*,True,7,30,29,55,0.003604
46,1,1,Greedy,True,7,29,28,8,0.000479
47,5,0,A*,False,0,0,0,5000,0.381781
47,5,0,Greedy,True,15,62,61,2725,0.158883
48,1,5,A*,True,6,24,24,17,0.001264
48,1,5,Greedy,True,6,24,24,7,0.000299
49,data_scientist,3,A*,True,11,43,44,298,0.021135
49,data_scientist,3,Greedy,True,11,43,44,16,0.000886
50,3,2,A*,True,11,39,40,1369,0.09996
50,3,2,Greedy,True,11,39,40,74,0.005105
51,5,2,A*,False,0,0,0,5000,0.399377
51,5,2,Greedy,True,15,61,61,2659,0.177209
52,4,1,A*,False,0,0,0,5000,0.44469
52,4,1,Greedy,True,15,67,65,52,0.004802
53,ml_engineer,2,A*,False,0,0,0,5000,0.400691
