instancia_id,descripcion,perfil_objetivo,habs_iniciales,algoritmo,exito,num_cursos,costo_total_semanas,nodos_expandidos,tiempo_segundos,trayectoria_valida,trayectoria_ids
inst_01,Estudiante sin conocimientos previos → Data Scientist,data_scientist,0,A* (cursos),True,11,44,298,0.014343,True,c03|c08|c01|c02|c04|c57|c07|c10|c11|c20|c24
inst_01,Estudiante sin conocimientos previos → Data Scientist,data_scientist,0,Greedy,True,11,44,16,0.000835,True,c03|c08|c04|c10|c11|c01|c02|c57|c07|c20|c24
inst_02,Estudiante con base matemática → Data Scientist,data_scientist,3,A* (cursos),True,8,34,90,0.004839,True,c08|c02|c57|c07|c10|c11|c20|c24
inst_02,Estudiante con base matemática → Data Scientist,data_scientist,3,Greedy,True,8,34,9,0.000357,True,c08|c10|c11|c02|c57|c07|c20|c24
inst_03,Programador Python junior → Data Scientist,data_scientist,3,A* (cursos),True,8,34,127,0.005996,True,c08|c04|c57|c07|c10|c11|c20|c24
inst_03,Programador Python junior → Data Scientist,data_scientist,3,Greedy,True,9,38,12,0.000752,True,c07|c08|c42|c20|c04|c10|c11|c57|c24
inst_04,Estudiante sin conocimientos → Backend Developer,backend_developer,0,A* (cursos),True,10,39,2363,0.113418,True,c01|c02|c07|c15|c18|c21|c23|c30|c06|c12
inst_04,Estudiante sin conocimientos → Backend Developer,backend_developer,0,Greedy,True,10,35,15,0.001093,True,c01|c02|c07|c36|c18|c39|c23|c30|c38|c12
inst_05,Desarrollador frontend → Backend Developer,backend_developer,3,A* (cursos),True,9,36,2208,0.122954,True,c02|c07|c15|c18|c21|c23|c30|c06|c12
inst_05,Desarrollador frontend → Backend Developer,backend_developer,3,Greedy,True,9,32,11,0.000864,True,c02|c07|c36|c18|c39|c23|c30|c38|c12
inst_06,Programador con APIs → ML Engineer,ml_engineer,4,A* (cursos),True,10,50,89476,5.237953,True,c23|c29|c03|c04|c08|c57|c24|c35|c09|c25
inst_06,Programador con APIs → ML Engineer,ml_engineer,4,Greedy,True,10,50,1454,0.047767,True,c23|c29|c03|c04|c08|c57|c24|c35|c09|c25
inst_07,Data Scientist que quiere ser ML Engineer,ml_engineer,11,A* (cursos),True,4,23,32,0.002806,True,c25|c40|c46|c35
inst_07,Data Scientist que quiere ser ML Engineer,ml_engineer,11,Greedy,True,4,23,5,0.000512,True,c25|c40|c46|c35
inst_08,Estudiante sin conocimientos → ML Engineer (camino completo),ml_engineer,0,A* (cursos),True,13,60,79149,4.365441,True,c01|c02|c07|c40|c46|c03|c04|c08|c57|c24|c35|c09|c25
inst_08,Estudiante sin conocimientos → ML Engineer (camino completo),ml_engineer,0,Greedy,True,13,60,638,0.017567,True,c01|c02|c07|c40|c46|c03|c04|c08|c57|c24|c35|c09|c25
